Photo,Name,Position,Rank,%Drafted,ADP,ADP2
Photo of Tank Bigsby,Tank Bigsby,Jax - RB,90,81%,112.1,112.1
Photo of Dalton Kincaid,Dalton Kincaid,Buf - TE,118,97%,113.3,113.3
Photo of Zach Charbonnet,Zach Charbonnet,Sea - RB,97,96%,113.4,113.4
Photo of Rhamondre Stevenson,Rhamondre Stevenson,NE - RB,103,92%,113.5,113.5
Photo of Cooper Kupp,Cooper Kupp,Sea - WR,119,88%,113.8,113.8
Photo of Jake Bates,Jake Bates,Det - K,196,100%,114.0,114.0
Photo of Jake Ferguson,Jake Ferguson,Dal - TE,112,97%,114.4,114.4
Photo of Dallas Goedert,Dallas Goedert,Phi - TE,116,96%,114.7,114.7
Photo of Cam Skattebo,Cam Skattebo,NYG - RB,120,87%,115.5,115.5
Photo of Tyler Warren,Tyler Warren,Ind - TE,113,86%,115.6,115.6
Photo of Jordan Love,Jordan Love,GB - QB,110,88%,116.1,116.1
Photo of Matthew Golden,Matthew Golden,GB - WR,95,80%,116.6,116.6
Photo of Minnesota,Minnesota,Min - DEF,176,100%,117.7,117.7
Photo of Najee Harris,Najee Harris,LAC - RB,181,45%,118.5,118.5
Photo of Kansas City,Kansas City,KC - DEF,177,99%,118.7,118.7
Photo of Jonnu Smith,Jonnu Smith,Pit - TE,154,64%,118.9,118.9
Photo of Khalil Shakir,Khalil Shakir,Buf - WR,106,89%,119.1,119.1
Photo of Jacory Croskey-Merritt,Jacory Croskey-Merritt,Was - RB,117,8%,119.5,119.5
Photo of C.J. Stroud,C.J. Stroud,Hou - QB,132,76%,119.8,119.8
Photo of Aaron Rodgers,Aaron Rodgers,Pit - QB,198,4%,120.2,120.2
Photo of Colston Loveland,Colston Loveland,Chi - TE,130,86%,121.2,121.2
Photo of Josh Downs,Josh Downs,Ind - WR,107,82%,121.8,121.8
Photo of J.J. McCarthy,J.J. McCarthy,Min - QB,125,68%,122.3,122.3
Photo of Cam Ward,Cam Ward,Ten - QB,178,10%,123.9,123.9
Photo of Chris Boswell,Chris Boswell,Pit - K,202,98%,123.9,123.9
Photo of Sam Darnold,Sam Darnold,Sea - QB,220,3%,123.9,123.9
Photo of Geno Smith,Geno Smith,LV - QB,145,4%,124.0,124.0
Photo of Kyle Pitts Sr.,Kyle Pitts Sr.,Atl - TE,160,61%,124.2,124.2
Photo of Javonte Williams,Javonte Williams,Dal - RB,115,63%,124.7,124.7
Photo of Hunter Henry,Hunter Henry,NE - TE,136,71%,124.7,124.7
Photo of Nick Chubb,Nick Chubb,Hou - RB,150,24%,124.9,124.9
Photo of Houston,Houston,Hou - DEF,186,93%,125.2,125.2
Photo of Michael Penix Jr.,Michael Penix Jr.,Atl - QB,141,9%,125.3,125.3
Photo of Tua Tagovailoa,Tua Tagovailoa,Mia - QB,155,7%,125.3,125.3
Photo of Detroit,Detroit,Det - DEF,184,97%,125.3,125.3
Photo of DeAndre Hopkins,DeAndre Hopkins,Bal - WR,213,3%,126.2,126.2
Photo of Anthony Richardson Sr.,Anthony Richardson Sr.,Ind - QB,262,2%,126.2,126.2
Photo of Bhayshul Tuten,Bhayshul Tuten,Jax - RB,109,27%,126.4,126.4
